representation,anchor_a,anchor_b,parallel_branch_index,dense_length_mm,length_mm,absolute_length_error_mm,absolute_arc_chord_tortuosity_error,reference_samples,representation_samples,subject,stratum
adaptive,23,24,0,23.926049299249197,19.09650185169512,4.829547447554077,0.6676992658681313,97,78,topcow_ct_005,TopBrain-CT
adaptive,23,24,1,8.115816675827388,7.233117803828616,0.8826988719987714,0.12203573838262988,34,30,topcow_ct_005,TopBrain-CT
adaptive,24,25,0,10.609856023924271,8.34751344890581,2.2623425750184616,0.2824928626370261,44,35,topcow_ct_005,TopBrain-CT
adaptive,25,26,0,1.501561470766913,1.3537058510806548,0.14785561968625816,0.10922285633043985,8,7,topcow_ct_005,TopBrain-CT
adaptive,25,32,0,18.619515225855718,15.450403828700395,3.169111397155323,0.2247402879482339,76,63,topcow_ct_005,TopBrain-CT
adaptive,26,27,0,5.755756336899329,4.729325122391275,1.0264312145080536,0.2170354517705609,25,20,topcow_ct_005,TopBrain-CT
adaptive,26,90,0,9.362152698987078,8.132672202782155,1.229480496204923,0.16648331913259115,39,34,topcow_ct_005,TopBrain-CT
adaptive,27,31,0,19.195345303101206,15.321676896859117,3.873668406242089,0.267909186079408,78,63,topcow_ct_005,TopBrain-CT
adaptive,27,91,0,19.213701530577588,14.719863267538459,4.4938382630391285,0.4277534166947799,78,60,topcow_ct_005,TopBrain-CT
adaptive,28,31,0,59.207613939657804,48.636533045889365,10.571080893768439,0.3068473894591911,238,196,topcow_ct_005,TopBrain-CT
adaptive,28,88,0,32.7171629447224,26.862737639222125,5.854425305500278,0.26070182682297804,132,109,topcow_ct_005,TopBrain-CT
adaptive,28,92,0,39.421442409252066,32.65149269229472,6.769949716957349,0.32045832628648435,159,132,topcow_ct_005,TopBrain-CT
adaptive,29,48,0,156.5482669835708,130.07399860921078,26.474268374360037,0.2304986971436134,628,522,topcow_ct_005,TopBrain-CT
